feature,weight_list
F1,"[0.06353741419398778, 0.015553672685574074, 0.14103721049581375, 0.16826545310032265, 0.169174320461194, 0.40243943806593807, 0.27919071873072115, 0.015653862684046345, 0.05910092370370735, 0.1074697240189946, 0.017729850141262833, 0.03208942900960376, 0.08347935229543789, 0.02857951607735945, 0.1250783756556493, 0.12069369113478721]"
F2,"[0.21897558447555537, 0.2467567198056113, 0.21991776732012003, 0.29506916612478123, 0.07815659280689481, 0.19569926382846614, 0.44210730462560915, 0.07703694745101754, 0.13966735914937478, 0.07772720772459525, 0.02762810798321706, 0.10937833557151036, 0.22944581586105975, 0.13084423008796509, 0.1355435040116772, 0.054849032625364294]"
F3,"[0.00828506022818872, 0.039628865749592145, 0.15260629149224703, 0.10020736154719231, 0.013975019493721636, 0.1927045421078049, 0.2694213562209748, 0.031426390257477836, 0.04108809162738493, 0.16172756227449395, 0.31691198516365326, 0.043814957130890266, 0.07681292950127985, 0.38174268251903426, 0.11869844555551141, 0.2958940878155782]"
F4,"[0.25174882529796744, 0.26956714971077683, 0.003329708840243406, 0.05490366794663286, 0.05962787110641268, 0.012100016559334749, 0.14965640922398632, 0.040685269675913106, 0.12361851725528515, 0.09523783009617916, 0.2413615909249274, 0.05460587695989762, 0.08525372708476525, 0.1434684678846567, 0.344724693308766, 0.24297890238389855]"
F5,"[0.021523287430721627, 0.0021400514307980656, 0.029993961083523767, 0.2006775429715573, 0.41828141811640385, 0.11985063035360187, 0.09625008984138243, 0.28216055575660726, 0.0009569677158036096, 0.22712835823755378, 0.029396774040325663, 0.10839655296661412, 0.29412923396322543, 0.34122133844075947, 0.05562487582838594, 0.09367558782500449]"
F6,"[0.06163564122169741, 0.027913373813054337, 0.15901228661704805, 0.13990045326310388, 0.23981273084430216, 0.0255335152078713, 0.04956030861793638, 0.15755058498491187, 0.02052084223963872, 0.3662883368476479, 0.26175347357301637, 0.31531895588658226, 0.04680987878363041, 0.10411253673844698, 0.03757897378191382, 0.12221760058029034]"
F7,"[0.28817141062044827, 0.16490743699927782, 0.04251201792394258, 0.12411306632282752, 0.3421916665188192, 0.02629888549239546, 0.07058282629447325, 0.33007133640858327, 0.2713530236155805, 0.23402478161192394, 0.02840259443391882, 0.011342580037053284, 0.14223849843319206, 0.0023097722987697584, 0.09406437545582386, 0.3961775929816721]"
F8,"[0.17566431278299047, 0.0437620178503117, 0.17562386853060497, 0.08579585031495585, 0.26509088457507796, 0.18668942838944366, 0.29313450736784447, 0.13899867012956532, 0.11112321354571993, 0.3837200799274448, 0.07543415071285195, 0.10702493293921005, 0.2961692902298062, 0.11452942600036996, 0.2041388405506343, 0.2049141916062551]"
F9,"[0.00990516659752031, 0.19528240839401226, 0.03979074387040175, 0.14836108613801324, 0.30082526025295053, 0.031022266873162983, 0.13304213025873554, 0.0653262984961169, 0.19919214375233155, 0.21600868104966314, 0.207422844276735, 0.08242944960648585, 0.367529521901473, 0.1928130185564317, 0.03815615922911432, 0.24172109281318244]"
F10,"[0.026714952985742314, 0.1462983678356427, 0.10993815317269666, 0.16725693858962268, 0.07321097427658584, 0.2374792645040463, 0.2026865461266405, 0.07432295643470745, 0.11551444076412458, 0.005729203351580091, 0.06039240206612973, 0.0076540947406645845, 0.07981966341863858, 0.15786054626370535, 0.05563541693997497, 0.056540110854164646]"
F11,"[0.0286134436291662, 0.16831085568447796, 0.017557540860680617, 0.3114350364988241, 0.06809414674273058, 0.4429899978655473, 0.25797995732314216, 0.009047952029493172, 0.16616141414549043, 0.10128327381189398, 0.09779156751547477, 0.013782805324671629, 0.041506862898281344, 0.07486730672937894, 0.046759900448622625, 0.13917641110885878]"
F12,"[0.05266193885738954, 0.07318126787052358, 0.19609866631384978, 0.034919811248010045, 0.19952296625247504, 0.08389059942355218, 0.23699006858773367, 0.20750143148329148, 0.31681680710968574, 0.2729606265570849, 0.1405444616542809, 0.18723289490803868, 0.32028905773450805, 0.11377280012170862, 0.2480271666538003, 0.27351165698456137]"
F13,"[0.06622091341964079, 0.05908379119894324, 0.11159451096995919, 0.26898639866604596, 0.04952605015136332, 0.08581131973336227, 0.3167616779574467, 0.14354188169210982, 0.2312268158190226, 0.008719689262143965, 0.15803234888450693, 0.23256251558042612, 0.10711606612907215, 0.07839752519801374, 0.12783617249730847, 0.20754411421051822]"
F14,"[0.1159060540528369, 0.13366983910358748, 0.3216771896384466, 0.015340181730287457, 0.17177850741322345, 0.14385296341177148, 0.014374735356572995, 0.2391197721606628, 0.30234042750041823, 0.3606973125939241, 0.032067969379343565, 0.08551565270542795, 0.06876685990205465, 0.2059508640495493, 0.16909916989075238, 0.36471836242068917]"
F15,"[0.19187702673588783, 0.07403066585264398, 0.0811282894888496, 0.014896297963930317, 0.18170070699681892, 0.15078613921598175, 0.08935607711942041, 0.12956588344863895, 0.15756671804354563, 0.0013819837180071614, 0.013441474937871551, 0.3748746301465454, 0.019847030937961037, 0.11105712519645275, 0.40193693727638197, 0.24229103587450385]"
F16,"[0.1500566458819667, 0.05223704485222726, 0.19379103692602034, 0.04410183688594998, 0.16556458054596773, 0.011893085155918363, 0.09628966105227495, 0.1763297789206757, 0.0013811441527352517, 0.33285803617959003, 0.17455476470632433, 0.2880192311685859, 0.18609426501810034, 0.08690586789012752, 0.30836159054558193, 0.0942945079521853]"
F17,"[0.25690001163295406, 0.11061002697188783, 0.048179974604545865, 0.15743913623337474, 0.13076669036300195, 0.08944740091436477, 0.010607974844743025, 0.09923447960804664, 0.31421851664823824, 0.075539861645636, 0.18137378721178635, 0.3626550556815035, 0.252817919895134, 0.013932544817000363, 0.28821944000036526, 0.29695719679997296]"
F18,"[0.13016633963461224, 0.3049251428055744, 0.12197205536906058, 0.38245107979344983, 0.06164379441912984, 0.2154424668883751, 0.23431112650476663, 0.02092555146814926, 0.030062620039305737, 0.26196291144741213, 0.032144795124341104, 0.08469274739661464, 0.08405018772306562, 0.12074551183428345, 0.12941269354405519, 0.08277692195603333]"
F19,"[0.029239823062209, 0.16298131344675307, 0.07936492208739757, 0.10025725521638086, 0.025092149480826546, 0.031299480484264994, 0.18069975950476458, 0.19481539777968232, 0.2431900511869028, 0.19839359680979407, 0.03253466442345136, 0.13873615672713788, 0.12906631163324242, 0.13707819319401054, 0.07687836423995759, 0.1390189747303719]"
F20,"[0.2749813642917309, 0.0991697869412511, 0.26775412356780565, 0.08649822154759203, 0.32034139310139575, 0.06001667003038778, 0.1155039781548844, 0.21786487130204327, 0.2903250626106508, 0.41684154498240344, 0.03740068865485851, 0.10880514260376042, 0.2452930905857069, 0.2545643348298791, 0.07916269001050713, 0.34460079659583925]"
F21,"[0.2455835759315431, 0.21492587986429476, 0.003503444385352661, 0.20376695234187017, 0.019902258838927187, 0.15115275330326852, 0.3278761629739248, 0.027384927447883123, 0.10700528658207446, 0.1361627893251309, 0.015583382977363423, 0.0788001097621381, 0.06295412113745831, 0.11666583326882216, 0.09011729660014606, 0.10607902800557086]"
F22,"[0.03980789159211656, 0.19062019261623397, 0.20301187441550508, 0.262949643158032, 0.3302739831818701, 0.04986073518916952, 0.15870633928201985, 0.3329611936427811, 0.1329872145350807, 0.19156586242473836, 0.30587407224434277, 0.3278454420953522, 0.13953482989371654, 0.1669446694282744, 0.0020182308348663173, 0.35287582983888405]"
F23,"[0.03125561767221192, 0.13834161234048503, 0.08366099845563944, 0.27118674892713845, 0.3427506997558105, 0.03758480242218422, 0.03284143399430989, 0.07091839901368481, 0.04534036989160884, 0.17928457136674855, 0.05787939445184914, 0.02429926467202875, 0.25299727222645535, 0.23222365406267165, 0.04904383932383293, 0.1611244531067609]"
F24,"[0.04178364954006303, 0.18865189037048966, 0.0815138107299813, 0.18753738052728788, 0.0014207563034155416, 0.02750645142890436, 0.21519849441697722, 0.16198570145439015, 0.12412211118841264, 0.30738837539185926, 0.0634512718741455, 0.0438532583444665, 0.24128929500897023, 0.05015432052037739, 0.2809717470763261, 0.012712835099726462]"
F25,"[0.259117442212266, 0.07465933755351001, 0.26297540930842406, 0.047028437836519374, 0.2556793055275517, 0.18963041034755013, 0.01017311036993197, 0.315518787263255, 0.1997376087302257, 0.1766480507158084, 0.09378084838295224, 0.04171055334981193, 0.12056182155433275, 0.13447183730589896, 0.23966567925876714, 0.07998266171714372]"
F26,"[0.16838891163866057, 0.34153550679558037, 0.06960574732969171, 0.19071220078609313, 0.23261254949128893, 0.33867223762238796, 0.22717716544496872, 1.670573328662656e-05, 0.047597554922762915, 0.09306869441944902, 0.13770293755122023, 0.15254839523737448, 0.05919329166618543, 0.13143002926907105, 0.2715686614572508, 0.2365377761920709]"
F27,"[0.2084638638191491, 0.11897000460523471, 0.022104318266695854, 0.12205236309990745, 0.10452905605355953, 0.009366224053641015, 0.08793251597568617, 0.13779962985122188, 0.056679039659823766, 0.00551183061183274, 0.05013737504689389, 0.31036133189207676, 0.06948953204244901, 0.026028692392120224, 0.17721086241024886, 0.012070863899308573]"
F28,"[0.020748041755411034, 0.017905628870835924, 0.2226475066556757, 0.21393781049344018, 0.41827915410714955, 0.0509059884910087, 0.19982593444578892, 0.18679857683327766, 0.11960799653305033, 0.27328994265023965, 0.15400985289157695, 0.2239005288395696, 0.09399472486724175, 0.0867873966652577, 0.014939452585514454, 0.3222085285617531]"
F29,"[0.2899601644174676, 0.1471310354386822, 0.21217759564538444, 0.0024934897898810588, 0.05060861485663205, 0.1356378413026759, 0.08233031684184103, 0.05136492888697879, 0.020866955505392946, 0.27837501358353833, 0.08723456977835865, 0.14643772986857626, 0.14091963144095812, 0.08324724518684938, 0.21227631716394055, 0.11731288668556113]"
F30,"[0.22043937190760468, 0.0038342600653250595, 0.02573850313628434, 0.10006946329424003, 0.02427410446907801, 0.06401195896657087, 0.018832808601333687, 0.2275442216577194, 0.0005733198450014215, 0.10794249199645206, 0.09453288300504019, 0.32945935364646, 0.16002009263953398, 0.31135508628782005, 0.05450276387425266, 0.342240524772413]"
F31,"[0.11891795590090884, 0.020509674015074548, 0.15719771573142755, 0.04918089257104403, 0.01762229928581775, 0.1430216772997653, 0.12526148691165184, 0.19368734584419692, 0.16823366332075, 0.012855111446561393, 0.49850049457216483, 0.016618574995051302, 0.041455417856842376, 0.33421345243503386, 0.013757416684893671, 0.0462400726576548]"
F32,"[0.004666884702837924, 0.1575460481352391, 0.08197985341772894, 0.2058240777431146, 0.11679592877775605, 0.040164656136847006, 0.1333657733889629, 0.14201863420398325, 0.2389569769764654, 0.29488002023764476, 0.18083042685988532, 0.2644579285037747, 0.32245263568132604, 0.0643622525277561, 0.07704337596474677, 0.09416227128482255]"
F33,"[0.29523978392112427, 0.06578618997800295, 0.5206233311798368, 0.060408164096666196, 0.07271814426564566, 0.17397273454283482, 0.40370169599547545, 0.21273615817630948, 0.03323210929937924, 0.17270193106789442, 0.19037022308323437, 0.004583664012365694, 0.292472870291348, 0.006426791875589544, 0.0133305783355301, 0.062451894321227566]"
F34,"[0.18142134191027778, 0.003182364502185118, 0.0646612239256851, 0.01850199459911363, 0.353302847729561, 0.12990825368130132, 0.07078602298318727, 0.07783854542870357, 0.08003872911170354, 0.05197947741380978, 0.32749568375260946, 0.007099479489288384, 0.047640522821447165, 0.078806270882846, 0.08473475453278495, 0.03641101533426624]"
F35,"[0.015315550380632358, 0.15384279459386252, 0.1661931691588726, 0.2784072606569206, 0.2686200049990703, 0.06728525869729492, 0.19663510018911687, 0.27100702596766796, 0.21658738688246293, 0.17352592093540628, 0.05636833194314941, 0.3829822219684928, 0.4031394669999536, 0.05452515164687668, 0.03073345905509498, 0.08401427506249508]"
F36,"[0.26679846912305566, 0.030615658391597463, 0.4218437380906992, 0.09805889938042595, 0.3631385897288194, 0.010023473354270984, 0.29707399300703907, 0.48676623681744174, 0.1432115125169224, 0.21339713438132774, 0.2637859112117249, 0.2091856351732014, 0.24948579974965893, 0.057258899862552885, 0.19765978755600638, 0.27027587181637885]"
F37,"[0.0847691543188852, 0.09397694252140447, 0.06400324735623447, 0.0010995614432077144, 0.02513816398363155, 0.22670693834494754, 0.014571181766626582, 0.3660291880183766, 0.1538250793133754, 0.33714753288421173, 0.021367427513001, 0.21598805841892935, 0.03467174147207414, 0.0010347926513502958, 0.15766407647427888, 0.010640089719255584]"
F38,"[0.050094802403691366, 0.0234698475766071, 0.29674987795447116, 0.26890014520063404, 0.017044834216202828, 0.3011182349769378, 0.05512109522288236, 0.2735224829214639, 0.09403153246775886, 0.12827003361252826, 0.3769838927977005, 0.11485219215944033, 0.17698244016301093, 0.005298739953755075, 0.013730899428446967, 0.23728389533847777]"
F39,"[0.06417439873100678, 0.22931446505805575, 0.017271392598600305, 0.27024453934390347, 0.17836627216754572, 0.04876322339610476, 0.1691166310108208, 0.09625213424056726, 0.30757878607130695, 0.3664800297678529, 0.05553450149535607, 0.14608974798512728, 0.19037736155265905, 0.22892868316160916, 0.08060865813812004, 0.022822966811556225]"
F40,"[0.06706741149852667, 0.047557527438250674, 0.3170478851482873, 0.03610413190374028, 0.10014707271779025, 0.5664978025315252, 0.38800776985246777, 0.07928917990398807, 0.1156137421882906, 0.08459688937967329, 0.3639343666910355, 0.0610768163206259, 0.0686846538100604, 0.2620154283737487, 0.03988090378910233, 0.03273854480097867]"
F41,"[0.2516673702167395, 0.03354131624253045, 0.15862474576939936, 0.20054499760513378, 0.014982494165895099, 0.0843099081160956, 0.030263980174535007, 0.10829309851554214, 0.1755260743558958, 0.18128288671663292, 0.5306143866665732, 0.016512238101784604, 0.19665608933008183, 0.14729627278845933, 0.20216002622590493, 0.30631627475288953]"
F42,"[0.005468008797981042, 0.03289332974895288, 0.10220443168830225, 0.3478522178782195, 0.03397750286240876, 0.12907315226372107, 0.04132854317548152, 0.019935177845334714, 0.1502933878749793, 0.03490438451286839, 0.39104090885758935, 0.05680665058682544, 0.0271260658245205, 0.015895024716523983, 0.14359807595616314, 0.27594551159575903]"
F43,"[0.10865497307085986, 0.1531266888923355, 0.12976427647155586, 0.029150288421321505, 0.04455652775016401, 0.18457445440088258, 0.08882276020504705, 0.09685960661344538, 0.0319310944800599, 0.19262887651083208, 0.02051088320599275, 0.13672668046606826, 0.24289102710673457, 0.19240169575730007, 0.17433621046669104, 0.12230242915444575]"
F44,"[0.011265674818997127, 0.12789154251517754, 0.056917116711412905, 0.11235936717138388, 0.15329938008713584, 0.21874732863483676, 0.4749466687422705, 0.0070284506342782665, 0.005532272666070249, 0.03892104248177897, 0.03873427087746041, 0.016440803835978762, 0.07080893412349695, 0.08412591585674255, 0.16047557037271926, 0.012277039825949888]"
F45,"[0.1982939830037832, 0.0908247897129445, 0.2714994722014647, 0.0356344725984695, 0.029648135458488774, 0.12233989998897385, 0.13906912626354853, 0.1629495592545517, 0.24274490707015128, 0.30333496501830864, 0.05677861270857978, 0.02315392565380905, 0.2999208573526876, 0.18949732408602113, 0.23312426463574257, 0.18493760469850884]"
F46,"[0.33041176340178996, 0.07255506282517413, 0.15947243113091633, 0.17494058354379036, 0.12490011206320809, 0.2812628766053169, 0.14353560242503247, 0.09268863249304064, 0.12733458183364477, 0.0722531747906883, 0.33489444467296564, 0.09207172234515379, 0.13555511680194643, 0.08698331279310638, 0.04771612547999352, 0.16336923627031327]"
F47,"[0.0019275640918330907, 0.31128635370519314, 0.13509577986006135, 0.19191619077742123, 0.08916377556474041, 0.10043199344882596, 0.13174381460989004, 0.029569183620909992, 0.10340962484171472, 0.08462893985849854, 0.18493126091117187, 0.303387377364576, 0.048313035789718385, 0.022601613544980994, 0.08641971115570518, 0.07617584083260907]"
F48,"[0.07266921029018644, 0.05886827075670399, 0.08994936174765235, 0.012179528572197493, 0.29306900189077206, 0.3791086746661357, 0.37892138417644583, 0.19090485958258047, 0.029350046814941046, 0.21403559890683244, 0.09641357838736322, 0.11075941363098613, 0.25241120648401655, 0.1005037470793492, 0.0804425728989344, 0.22379139587382485]"
F49,"[0.10017063295781946, 0.22879241947373744, 0.2719554041445868, 0.060885167110730526, 0.10436061392623802, 0.27344724701773926, 0.37027251117523374, 0.3704962518648817, 0.07930337354561821, 0.2467234844241961, 0.1777319296840543, 0.29663021873837775, 0.05995218451849126, 0.03369287405087287, 0.2099849261942452, 0.25233648068711717]"
F50,"[0.02264412873181507, 0.0032871290837182925, 0.0256822065129079, 0.027222793542893104, 0.14289409478256962, 0.10386737606825208, 0.002045617658068577, 0.12583106009326447, 0.19470212707134993, 0.0174187403803551, 0.05253778282092361, 0.39295042914870043, 0.2384608270490622, 0.11616924896812762, 0.22311552949988098, 0.0653122702366178]"
F51,"[0.016967497430597975, 0.05928323806733764, 0.12332450665786926, 0.21599984712909143, 0.19174965687417977, 0.103274754299594, 0.14420460008611252, 0.01778247536292635, 0.10656162924064755, 0.03219519100175696, 0.12643643784873668, 0.07804595277776093, 0.15269089517436676, 0.09875205633124687, 0.03541861574737474, 0.008065253350121348]"
F52,"[0.06886688264446707, 0.116889633933291, 0.023652142624887063, 0.032776201486590884, 0.09575352144763458, 0.13416556958835746, 0.053524831077758704, 0.10731959482384473, 0.07348798988992539, 0.0002949422481676147, 0.20020692508878357, 0.06641936735167517, 0.027158027159730053, 0.07829487651216212, 0.024837202091974354, 0.07693949925408808]"
F53,"[0.08880692603816528, 0.17688274285590633, 0.32200827348193806, 0.0696684078529994, 0.017126134216417763, 0.15929859674263927, 0.023000487311328893, 0.2158838926891054, 0.03556485182401328, 0.41135568310640924, 0.20805161070737735, 0.22728190879364102, 0.051540805832393934, 0.07832323442394899, 0.04369852949418993, 0.04810594726747966]"
F54,"[0.4038867570963096, 0.1266287877931015, 0.23427478046046546, 0.2732622016968272, 0.03958417233645398, 0.19048808156771116, 0.3028609573617593, 0.08765898305346644, 0.03212787574407155, 0.37998138119954583, 0.01766650130744664, 0.34962601863448406, 0.14171010374792206, 0.06189878166938789, 0.13419995012537062, 0.08564444084372164]"
F55,"[0.12783061764066989, 0.17881143771225363, 0.08635835901382416, 0.28474832040025616, 0.022561078016928273, 0.12580954725725352, 0.3218957341364144, 0.017182690909435496, 0.28624217400289775, 0.06887690972776482, 0.05430201365042728, 0.2826036272468392, 0.06554519225251539, 0.12305052954549993, 0.323757263857896, 0.06321357219283347]"
F56,"[0.30021383073943847, 0.06806017996738586, 0.10268499237937007, 0.009121573203987475, 0.2576208960837352, 0.09270602686325811, 0.16626364312431857, 0.11211361122083553, 0.14361407672442875, 0.13066126599162986, 0.1434170189930658, 0.05394362756035601, 0.17933465545235858, 0.03706361426059677, 0.12950937870062781, 0.01206731662867486]"
F57,"[0.12782829356583603, 0.1405734212057025, 0.29791043387524496, 0.1126400071788484, 0.19292636947844533, 0.13490257171446474, 0.21435588885749296, 0.015181151231472243, 0.11827523316962099, 0.0901545115923089, 0.14946674981516028, 0.11213746060275241, 0.11605839410260596, 0.10267120702058438, 0.15639637853640415, 0.08992443332192174]"
F58,"[0.012971629795628815, 0.021981093099795096, 0.026979597719521835, 0.13218939687304196, 0.01326996495452277, 0.168144394957395, 0.15196950025722333, 0.2276780173222697, 0.07066296317294926, 0.03472058038354481, 0.2543064487144375, 0.10341523168815404, 0.06618678160095302, 0.10212929856649208, 0.09223926878070923, 0.06609341144094334]"
F59,"[0.10360261290942864, 0.07525805827590733, 0.2703629720898554, 0.12349531381333939, 0.03212370944950344, 0.24488932705904387, 0.03163287058587542, 0.15983898017781495, 0.18185457210536005, 0.05417852160330982, 0.06232918055644015, 0.19087082203050318, 0.013912220700450372, 0.05535893990425179, 0.05894942786607776, 0.23114669129252902]"
F60,"[0.083104995611576, 0.12013435879719972, 0.21369783478627985, 0.06674479283182568, 0.0027559638011130103, 0.0009829284928026506, 0.12182163164647154, 0.00265224613988793, 0.015507775170024109, 0.13753757568217959, 0.02839787517977494, 0.0771205370883692, 0.17645841000453383, 0.0314158319748827, 0.13875852407884445, 0.0688801806312833]"
F61,"[0.4991399695605581, 0.17395218580125957, 0.41597401877188306, 0.11445982339408291, 0.006163542168428627, 0.036465254442827624, 0.3022920647798416, 0.09557629112646292, 0.3921573077738068, 0.0545526073049794, 0.04330966236683479, 0.08605313373923497, 0.07470037204613288, 0.13482818502592384, 0.17852797910881127, 0.04081775685477676]"
F62,"[0.036543344976012415, 0.19146461299347864, 0.16315433946550098, 0.04946351862327779, 0.24433282922177393, 0.17451880637608633, 0.38243612496278584, 0.2139566783591698, 0.10150989681188903, 0.031061051388549782, 0.059454654190576044, 0.06903870246892252, 0.009670958083706301, 0.09950024019257342, 0.11943265533432426, 0.12047030305643022]"
F63,"[0.06318152219149686, 0.0909018420115696, 0.18482721314034223, 0.11230560483538025, 0.043167283549712276, 0.10686591250730448, 0.2479145752485566, 0.0487628482304192, 0.06552897446911299, 0.17071911153449654, 0.10494265604112245, 0.05057040821843098, 0.04748539716765375, 0.18192533674818825, 0.17630892372689402, 0.05882669364175296]"
F64,"[0.505473800226912, 0.22052318433249848, 0.37054514295279756, 0.03810657889537028, 0.05994686470794711, 0.13007451794837138, 0.03327499756074839, 0.18084696852746307, 0.20791767654772605, 0.13838202330163674, 0.024028117893682466, 0.1702015841546648, 0.06291528450484914, 0.07838728757323095, 0.20602004430503182, 0.25683432624196406]"
F65,"[0.3463008117761138, 0.17496566088847154, 0.42953252386482627, 0.11075778489760954, 0.15588046448434548, 0.08610224682642549, 0.17637265399141253, 0.24678563604661782, 0.3687129981984041, 0.2115796221236154, 0.001002217578240558, 0.16625120572387792, 0.26342485680544847, 0.06261325859468442, 0.07714951282408179, 0.029505059053267408]"
F66,"[0.3743099425161006, 0.09280195601306986, 0.027216106268088257, 0.12288111308289835, 0.1136043881671391, 0.06755203693267789, 0.16541496706316813, 0.12844187931013315, 0.05010371923861044, 0.20152868580576233, 0.06776661441008407, 0.42106405760335597, 0.06363203699383148, 0.0018276937781821138, 0.33988441830073834, 0.19322626059934525]"
F67,"[0.1968234324156487, 0.038634022568170986, 0.20841408578340803, 0.041066143660281884, 0.0917122249176014, 0.1592331715569424, 0.28321717370146177, 0.009417000467914674, 0.10036950783454622, 0.03424239671151458, 0.37546224946323714, 0.04955293982693748, 0.009754145253142645, 0.11337611096496707, 0.08100594055326639, 0.03777989930838719]"
F68,"[0.161407703889139, 0.19070568378050742, 0.047035277160600714, 0.23363244561172328, 0.22917126854410524, 0.06228207779425619, 0.00011952010617293387, 0.1710690221887468, 0.22418577401432424, 0.18611826789682656, 0.11377507973806372, 0.008306651509708303, 0.005022967083735812, 0.10006657575786225, 0.07213390225200447, 0.029351720734785643]"
F69,"[0.22307938984639378, 0.008943430415647637, 0.026991976242538303, 0.13277778188964623, 0.017524365481809915, 0.017260151192011203, 0.1571204962731135, 0.0946730798448088, 0.0010601384692252513, 0.012668273899473727, 0.01885550238139194, 0.03225620827778087, 0.0663068024910854, 0.029275644736745064, 0.05079033254447744, 0.10326429938532343]"
F70,"[0.06581267400005301, 0.013564643057106382, 0.06442951785359809, 0.021215743575671703, 0.10959759737226468, 0.2684184152476266, 0.08524065379240761, 0.008553669654604237, 0.2291763867185179, 0.29986303609749787, 0.058628944148559486, 0.21073963075169141, 0.026735269265379905, 0.02716325981165004, 0.129292104081297, 0.1669273928758737]"
F71,"[0.17293387924567208, 0.17385032031154293, 0.41945944350404707, 0.0012475899639643002, 0.15833087899250947, 0.17091471965941651, 0.03119806159375556, 0.37771564010892783, 0.3259306808285209, 0.40863438442054384, 0.16696979882569357, 0.20310284073168094, 0.05278065603786903, 0.1088547068670021, 0.18355572431289616, 0.14515616248169932]"
F72,"[0.12052690177312748, 0.03774952549296443, 0.22116989185406272, 0.03400304262046125, 0.0076005044544659485, 0.0727906517039768, 0.024698488957886452, 0.0356193976951847, 0.23139851011768464, 0.200388603142927, 0.05652344475876368, 0.03186019890819002, 0.01616239398366071, 0.13756241467995847, 0.1670560054170646, 0.16790458907372885]"
F73,"[0.4354503614827851, 0.10409291929112735, 0.06649073151139395, 0.0015759597719877019, 0.11641415954093172, 0.22741773279745703, 0.30726985310951443, 0.024300572727721917, 0.2658252011539745, 0.048401836311744564, 0.047734943925075636, 0.27499683473649955, 0.2732251523437191, 0.10906244824316667, 0.3151320630641514, 0.4161892821329348]"
F74,"[0.2228073056929078, 0.06043978917614859, 0.19543726069037493, 0.0005508447820473885, 0.12189056730895326, 0.03784419996795814, 0.19570159006478643, 0.14680549980145394, 0.11384393318507445, 0.2581170648397722, 0.11911332860303772, 0.08231987619497268, 0.0036242111330810223, 0.19283839100745365, 0.00871505865961737, 0.331899572150916]"
F75,"[0.034203073755655095, 0.13262936301322215, 0.09525764180100522, 0.030628919038548554, 0.13947103405222747, 0.24477348783233527, 0.19937571879051685, 0.18131480805002398, 0.004158852955868374, 0.23909071244034286, 0.13170646951211726, 0.01859331799243237, 0.05222104711459462, 0.06703693902380257, 0.133074807989905, 0.048237107144362995]"
F76,"[0.11283506877541889, 0.10476151437440767, 0.18670690409422375, 0.1551495666402481, 0.21391476195969542, 0.07526933870307329, 0.15147232896616705, 0.17423565791146936, 0.1202715464235138, 0.3131108965309636, 0.03328397992798309, 0.06664890155160487, 0.13852051711459293, 0.07594603089179988, 0.08319719592006593, 0.040352758325152185]"
F77,"[0.019818425007072264, 0.09935701798016755, 0.39379699606036894, 0.09769989615603662, 0.02794907769467306, 0.47465827107147124, 0.3406024275881051, 0.07391941359790606, 0.014574796050842175, 0.42074613518972265, 0.029299738437669857, 0.03717857962516558, 0.19080297390615145, 0.06987890681859694, 0.05890077289979864, 0.1754359174790101]"
